model,dd_dir,sym_file,dd_rev_guess,command_name,sym_id,flags
TT301,0002,0202.sym,02.02,write_set_point_time_generator_mode,16477,
TT301,0002,0202.sym,02.02,write_special_unit,16545,
TT301,0002,0202.sym,02.02,write_write_protection_mode,16525,
TT301,0002,0202.sym,02.02,enable_cold_junction_for_mv_special,16574,
TT301,0002,0202.sym,02.02,read_special_sensor_input_data,16553,
TT301,0002,0202.sym,02.02,write_power_on_data,16470,
TT301,0002,0202.sym,02.02,write_special_sensor_input_data,16559,
TT301,0002,0202.sym,02.02,reset_counter_of_change,16521,
TT301,0002,0202.sym,02.02,write_static_data_configuration,16425,
TT301,0002,0202.sym,02.02,write_alarm_configuration,16500,
TT301,0002,0202.sym,02.02,read_curve_parameters,16478,
TT301,0002,0202.sym,02.02,read_password,16528,
TT301,0002,0202.sym,02.02,perform_user_calibration,16431,
TT301,0002,0202.sym,02.02,write_menu_configuration_password,16570,
TT301,0002,0202.sym,02.02,read_static_data_configuration,16422,
TT301,0002,0202.sym,02.02,read_display_code,16504,
TT301,0002,0202.sym,02.02,read_power_on_data,16467,
TT301,0002,0202.sym,02.02,read_counter_of_change,16508,
TT301,0002,0202.sym,02.02,write_smar_order_code,16538,
TT301,0002,0202.sym,02.02,read_pid_variables,16571,
TT301,0002,0202.sym,02.02,write_fail_safe_mode,16503,
TT301,0002,0202.sym,02.02,read_set_point_generator_congiguration,16471,
TT301,0002,0202.sym,02.02,write_special_sensor_calibration_limits,16552,
TT301,0002,0202.sym,02.02,acknowledge_alarm,16501,
TT301,0002,0202.sym,02.02,read_controller_variables,16442,
TT301,0002,0202.sym,02.02,read_fail_safe_mode,16502,
TT301,0002,0202.sym,02.02,read_special_sensor_calibration_limits,16546,
TT301,0002,0202.sym,02.02,read_write_protection_mode,16522,
TT301,0002,0202.sym,02.02,read_mv_Ohms_variable,16577,
TT301,0002,0202.sym,02.02,write_manipulated_variable,16461,
TT301,0002,0202.sym,02.02,read_pid_block_parameters,16451,
TT301,0002,0202.sym,02.02,write_set_point_generator_configuration,16476,
TT301,0002,0202.sym,02.02,read_controller_mode,16440,
TT301,0002,0202.sym,02.02,write_proportional_factor,16457,
TT301,0002,0202.sym,02.02,read_special_unit_and_characterization_unit,16539,
TT301,0002,0202.sym,02.02,read_pid_block_configuration,16435,
TT301,0002,0202.sym,02.02,WRITE_DISPLAY_CODE,16507,
TT301,0002,0202.sym,02.02,WRITE_SETPOINT,16460,
TT301,0002,0202.sym,02.02,restore_factory_trim,16573,
TT301,0002,0202.sym,02.02,read_manipulated_variable_limits,16462,
TT301,0002,0202.sym,02.02,read_static_data_trim,16426,
